Date,Account ID,Invoice/CM #,Apply to Invoice Number,Line Description,Debit Amnt,Credit Amnt,Customer ID,Name,Telephone 1,Bill To Contact,Last Inv Date,Purchase Order No,Quote No,Transaction Ref,Good Thru,Sales Rep ID,Sales Rep Name,Invoice Note,Qty,Item ID,Item Description,Short Description,Account Description,Unit Price,Tax,Tax Type Description,Job ID,Job Description,Amount,Amt Recvd,Drop Ship,Ship To Name,Ship To Address Line 1,Ship To Address Line 2,Ship To City,Ship To State,Ship To Zip,Ship To Country,Description for Sales,Description for Purchases,Payment Status,Credit Memo,Return Authorization,UPC / SKU,Part Number,sku_type,Principal
02/01/2023,5000,COL23-02C-0002,,Cost of sales,1918.5,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,849 (CASE),CHOCQUIK FIVE 10PCSX20,Cost of sales,Cost of Sales,,,,,,1918.5,,,,,,,,,,CHOCQUIK FIVE 10PCSX20,CHOCQUIK FIVE X20X25,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,1918.5,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,849 (CASE),CHOCQUIK FIVE 10PCSX20,Cost of sales,Inventory,,,,,,-1918.5,,,,,,,,,,CHOCQUIK FIVE 10PCSX20,CHOCQUIK FIVE X20X25,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0002,,CIOCO LUV-LUV 10PCSX12,,1492.44,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,138 (CASE),CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV 10PCSX12,Sales Income,746.22,1,Regular,,,-1492.44,,,,,,,,,,CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0002,,Cost of sales,1147.76,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,138 (CASE),CIOCO LUV-LUV 10PCSX12,Cost of sales,Cost of Sales,,,,,,1147.76,,,,,,,,,,CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0002,,Cost of sales,,1147.76,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,2,138 (CASE),CIOCO LUV-LUV 10PCSX12,Cost of sales,Inventory,,,,,,-1147.76,,,,,,,,,,CIOCO LUV-LUV 10PCSX12,CIOCO LUV-LUV,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0002,,MACO COOP (VALENCIA),20105.06,,JM007224,MACO COOP (VALENCIA),,,02/01/2023,,,COL23-02C-0002,,SMAS2-CENTRAL BUK.,ANJON OYAN,,,,,MACO COOP (VALENCIA),Accounts Receivable,,,,,,20105.06,,,MACO MPC 2, Valencia Bukidnon (P5),,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,1077.36,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,YAKEE! SUPER ASIM GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-1077.36,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,1002.95,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Cost of Sales,,,,,,1002.95,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,1002.95,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,Cost of sales,Inventory,,,,,,-1002.95,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,PINTOORA GUMBALL 25PCSX40,,1077.36,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,877 (CASE),PINTOORA GUMBALL 25PCSX40,PINTOORA GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-1077.36,,,,,,,,,,PINTOORA GUMBALL 25PCSX40,PINTOORA GUM BALLX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,CHOCO JOY 50PCSX40,,1473.94,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,809 (CASE),CHOCO JOY 50PCSX40,CHOCO JOY 50PCSX40,Sales Income,1473.94,1,Regular,,,-1473.94,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,1134.04,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,809 (CASE),CHOCO JOY 50PCSX40,Cost of sales,Cost of Sales,,,,,,1134.04,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,1134.04,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,809 (CASE),CHOCO JOY 50PCSX40,Cost of sales,Inventory,,,,,,-1134.04,,,,,,,,,,CHOCO JOY 50PCSX40,CHOCO JOYX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FROOTY RAINBOW POP 25PCSX40,,1275.65,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,865 (CASE),FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-1275.65,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,1000,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,865 (CASE),FROOTY RAINBOW POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,1000,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,1000,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,865 (CASE),FROOTY RAINBOW POP 25PCSX40,Cost of sales,Inventory,,,,,,-1000,,,,,,,,,,FROOTY RAINBOW POP 25PCSX40,FROOTY RAINBOW POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FROOTY CHOCOLICIOUS 20PCSX50,,1239.3,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,868 (CASE),FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUS 20PCSX50,Sales Income,1239.3,1,Regular,,,-1239.3,,,,,,,,,,FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUSX50,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,940,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,868 (CASE),FROOTY CHOCOLICIOUS 20PCSX50,Cost of sales,Cost of Sales,,,,,,940,,,,,,,,,,FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUSX50,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,940,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,868 (CASE),FROOTY CHOCOLICIOUS 20PCSX50,Cost of sales,Inventory,,,,,,-940,,,,,,,,,,FROOTY CHOCOLICIOUS 20PCSX50,FROOTY CHOCOLICIOUSX50,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FROOTY CHOCO POP 25PCSX40,,1275.65,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,863 (CASE),FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-1275.65,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,946,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,946,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,946,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,1,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Inventory,,,,,,-946,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0003,,FRUTOS 50PCSX40,,2908.22,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,2,830 (CASE),FRUTOS 50PCSX40,FRUTOS 50PCSX40,Sales Income,1454.11,1,Regular,,,-2908.22,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0003,,Cost of sales,2260.32,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,2,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Cost of Sales,,,,,,2260.32,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0003,,Cost of sales,,2260.32,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,2,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Inventory,,,,,,-2260.32,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1100,COL23-02C-0003,,QUICK STEP (OPOL),10327.48,,JM003321,QUICK STEP (OPOL),,,02/01/2023,,,COL23-02C-0003,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,,,,QUICK STEP (OPOL),Accounts Receivable,,,,,,10327.48,,,, Opol (P5),,,,,,,,Past Due,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,FRUTOS 50PCSX40,,7270.55,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,830 (CASE),FRUTOS 50PCSX40,FRUTOS 50PCSX40,Sales Income,1454.11,1,Regular,,,-7270.55,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,5650.8,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Cost of Sales,,,,,,5650.8,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,5650.8,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,5,830 (CASE),FRUTOS 50PCSX40,Cost of sales,Inventory,,,,,,-5650.8,,,,,,,,,,FRUTOS 50PCSX40,FRUTOSX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,FROOTY CHOCO POP 25PCSX40,,5102.6,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,4,863 (CASE),FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POP 25PCSX40,Sales Income,1275.65,1,Regular,,,-5102.6,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,3784,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,4,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Cost of Sales,,,,,,3784,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,3784,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,4,863 (CASE),FROOTY CHOCO POP 25PCSX40,Cost of sales,Inventory,,,,,,-3784,,,,,,,,,,FROOTY CHOCO POP 25PCSX40,FROOTY CHOCO POPX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,V FRESH WINTER 50PCSX40,,9081.6,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,6,988 (CASE),V FRESH WINTER 50PCSX40,V FRESH WINTER 50PCSX40,Sales Income,1513.6,1,Regular,,,-9081.6,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,5000,COL23-02C-0004,,Cost of sales,7366.02,,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,6,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Cost of Sales,,,,,,7366.02,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,1200,COL23-02C-0004,,Cost of sales,,7366.02,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,6,988 (CASE),V FRESH WINTER 50PCSX40,Cost of sales,Inventory,,,,,,-7366.02,,,,,,,,,,V FRESH WINTER 50PCSX40,V FRESH WINTERX40,,No,,,,Case,CIFPI
02/01/2023,4000,COL23-02C-0004,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,3232.08,JM003623,RSS STORE (OPOL),,,2/25/23,,,COL23-02C-0004,,SMAS5-EASTMIS.OR/CDO,NONITO TEE,,3,876 (CASE),YAKEE! SUPER ASIM 25PCSX40,YAKEE! SUPER ASIM GUMBALL 25PCSX40,Sales Income,1077.36,1,Regular,,,-3232.08,,,,,,,,,,YAKEE! SUPER ASIM GUMBALL 25PCSX40,YAKEE! SUPER ASIM GUM BALLX40,,No,,,,Case,CIFPI
